1173497	1173497	1173497		
2	1224	2		1224
1224	2	2	1224	
2	1265412	2		1224,28211,204457,41297,165695,1265412
1265412	2	2	1224,28211,204457,41297,165695,1265412	
1265412	691709	2	1224,28211,204457,41297,165695,1265412	201174,1760,85007,85025,1827,691709
530858	935223	2	1224,1236,72274,135621,286,530858	68336,976,117743,200644,49546,237,935223
1651932	208595	2	1224,28216,80840,75682,29580,1651932	1239,91061,186826,186828,2747,208595
411945	536669	2	1224,28211,356,82115,227290,379,411945	201174,1760,85012,83676,234334,536669
1312976	1316519	2	201174,1760,85006,1268,1663,1312976	68336,976,200643,171549,171551,836,1316519
1220632	1042368	2	1224,1236,91347,543,544,1220632	2323,49928,1042368
1322116	1034999	186817	1386,1322116	45667,1034999
493593	486852	2	1224,1236,135622,267890,22,493593	201174,1760,85011,2062,1883,486852
1218378	356800	1224	28216,80840,119060,32008,1218378	1236,91347,543,547,356800
1131359	1265640	1224	28211,356,69277,68287,1131359	1236,91347,543,590,28901,59201,58095,1265640
339681	403972	2	2323,49928,339681	68336,976,117743,200644,313602,403978,403972
1466964	523647	2	1239,91061,1385,186817,1055323,1466964	1224,28211,204441,41295,390876,523647
1484210	1497184	2	1224,28211,356,41294,374,1484210	1239,91061,1385,186817,1386,86661,1497184
1306312	1509952	2	1117,1161,1162,1177,1178,1306312	2323,49928,1509952
1131163	1776	2	1239,91061,1385,186817,1386,1131163	201174,1760,85007,1762,1763,1776
1081421	941889	2	1224,1236,91347,543,583,1081421	1239,91061,1385,186817,1386,941889
404	1110244	2	1224,28216,206350,32011,404	2323,49928,1110244
879604	1270987	2	1224,1236,135624,84642,642,879604	201174,1760,85007,85025,1817,1270987
1358299	460082	2	2323,49928,1358299	1224,28211,356,41294,374,460082
1602598	709745	2	1224,1236,91347,543,613,1602598	2323,49928,709745
1051195	214855	2	201174,1760,85011,2062,1883,1051195	1239,186801,186802,186803,140625,214855
327664	1208202	2	68336,976,117743,200644,49546,1016,327664	2323,49928,1208202
1277069	1208693	1236	135622,72275,89404,1277069	135623,641,662,1208693
928978	85558	2	1224,1236,72274,135621,286,928978	201174,1760,85011,2062,1883,85558
579676	1194447	2	1224,1236,135623,641,662,579676	201174,1760,85007,85025,1827,1194447
542197	1148309	2	1239,91061,1385,186818,1569,542197	2323,49928,1148309
1159043	1664560	1224	68525,29547,213849,72293,209,210,1159043	1236,135614,32033,83618,1664560
1648054	640200	2	1224,1236,72274,135621,286,1648054	201174,1760,85006,1268,1663,640200
1678465	1594793	1236	91347,543,561,1678465	72274,135621,286,1594793
1510882	1226572	2	201174,1760,85011,2062,1883,1510882	1224,1236,72274,135621,286,1226572
1537410	1230644	1236	72274,135621,286,1537410	91347,543,613,1230644
470049	857244	2	1239,91061,1385,186817,1386,470049	1224,1236,72274,135621,286,857244
1285190	1670553	2	1239,91061,186826,33958,1578,47715,568703,1285190	201174,1760,85011,2062,1883,1670553
1700023	1402	2	1224,28211,356,41294,374,1700023	1239,91061,1385,186817,1386,653685,1402
1723730	1419790	2	1224,28216,80840,119060,32008,1723730	201174,1760,85010,2070,1851,1419790
1406431	1581651	28216	80840,75682,149698,1406431	206350,32011,119067,1581651
1245174	1028892	1224	28211,204457,41297,41298,122612,1245174	1236,72274,135621,286,1028892
225971	866629	2	1224,28211,204457,335929,1041,225971	544448,31969,2085,2092,2093,656088,2105,866629
349161	948162	2	1239,186801,186802,186807,1562,59610,349161	2323,49928,948162
1379890	1190232	2	2323,49928,1379890	1224,28211,356,41294,81426,1190232
1167693	588286	2	1224,1236,91347,543,561,562,1167693	1239,91061,1385,186817,1386,588286
1316690	47055	2	201174,1760,85006,85023,90316,1316690	508458,649775,649776,649777,47054,47055
1305888	348607	2	2323,49928,1305888	1117,1301283,1150,1205,348606,348607
622500	1591411	2	1224,28216,80840,119060,32008,622500	201174,1760,85008,28056,1873,1591411
426355	1320008	2	1224,28211,356,119045,407,31998,426355	201174,1760,85012,83676,2013,1320008
1033523	1338524	2	2323,49928,1033523	1239,91061,186826,81852,1350,1352,1338524
1765904	1277161	1224	28211,356,82115,227292,28105,1765904	1236,135624,84642,129577,1277161
1173145	519587	2	1224,28216,80840,506,222,1173145	1239,91061,1385,186817,1386,519587
89067	745777	135622	267891,58050,89067	267888,53246,745777
1114367	570643	2	201174,1760,85007,85025,1827,1114367	1239,91061,1385,539002,539742,33986,570643
1243670	752567	2	201174,1760,85011,2062,1883,1243670	1224,1236,135624,84642,642,752567
947348	865435	1386	947348	865435
422366	890075	2	201174,1760,85012,83676,2013,422366	2323,49928,890075
1442463	644320	2	1224,1236,135623,641,662,1442463	201174,1760,85009,85015,182639,644320
690134	1204386	1224	28211,204457,41297,165696,690134	1236,72274,468,469,1204386
944092	948620	53335	944092	948620
1459964	1681863	1386	1459964	1681863
1640088	1179985	1224	28211,204458,76892,41275,1640088	1236,135623,641,662,1179985
1304706	1413491	2	1224,1236,91347,543,570,1304706	1239,91061,1385,90964,1279,1280,1413491
1200616	1358106	2	1239,186801,186802,186803,140625,1200616	203691,203692,1643686,143786,29521,1358106
170687	245303	2	1224,1236,135623,641,662,170687	201174,1760,52018,78537,245303
1194112	82115	2	1239,91061,186826,81852,1350,1194112	1224,28211,356,82115
677141	486989	1236	135623,641,662,677141	91347,543,590,28901,59201,486989
488430	263043	2	1239,91061,186826,1300,1301,488430	1224,28211,82117,33807,263043
1472116	1002598	543	561,1472116	53335,1002598
983795	394020	2	68336,976,117743,200644,49546,336276,983795	1224,1236,135623,641,657,394020
501572	1168446	356	82115,227292,28105,501572	41294,374,1168446
945234	486910	2	201174,1760,85007,1762,1763,945234	1224,28211,766,942,952,953,486910
204678	756493	1224	28211,82117,33807,204678	1236,72274,135621,286,756493
1436602	444202	2	1239,91061,1385,186817,1386,1436602	1224,1236,135622,267888,53246,444202
1381567	285469	2	1239,91061,1385,186817,1386,1381567	201174,1760,85011,2062,1883,285469
191644	1398339	2	1224,28211,766,942,952,953,191644	1239,91061,1385,186817,197483,1398339
293260	1327526	2	1239,91061,1385,186817,1386,293260	1224,1236,72274,135621,286,1327526
339706	1116113	2	2323,49928,339706	1224,1236,91347,543,561,562,1116113
1151457	1422752	2	1224,68525,29547,213849,72294,194,1151457	1239,91061,1385,90964,1279,1280,1422752
1259381	1584450	2	201174,1760,85006,1268,57493,1259381	1224,1236,135623,641,662,1584450
764478	1432925	2	2323,49928,764478	1224,28216,80840,119060,132490,1432925
1682737	1321252	1224	28211,204441,433,125216,1682737	28216,80840,119060,32008,111527,28450,1321252
1147193	1259111	1224	1236,91347,543,561,562,1147193	28211,204458,76892,75,1259111
478591	677682	2	201174,1760,85006,85023,33882,478591	1224,1236,135623,641,662,677682
668610	583306	1224	28211,356,119045,407,668610	1236,135614,32033,40323,583306
689760	939414	2	201174,1760,85008,28056,689760	200795,167963,189774,939414
653880	1758577	2	1224,1236,72274,135621,286,653880	1239,91061,1385,186817,1386,1758577
398201	1120342	2	1224,1236,72274,468,469,398201	1239,91061,1385,186817,1386,1120342
568101	442429	1236	135622,72275,89404,568101	72274,135621,286,136849,251695,317,442429
83622	463275	2	1224,28211,356,82115,227290,379,83622	1117,1301283,1150,54304,1160,463275
1443753	584605	2	201174,1760,85006,1268,57493,1443753	68336,976,117743,200644,49546,290174,584605
663	685664	2	1224,1236,135623,641,662,717610,663	68336,976,171558,37452,685664
1450385	1591873	49928	1450385	1591873
1274896	475948	1236	91347,543,561,562,37762,413997,1274896	72274,135621,286,475948
513008	591838	2	201174,1760,85006,85021,53355,513008	1224,28211,356,118882,528,591838
