1173497	1173497	1173497	0	0
2	1224	2	0	1
1224	2	2	1	0
2	1265412	2	0	6
1265412	2	2	6	0
1265412	691709	2	6	6
530858	935223	2	6	7
1651932	208595	2	6	6
411945	536669	2	7	6
1312976	1316519	2	6	7
1220632	1042368	2	6	3
1322116	1034999	186817	2	2
493593	486852	2	6	6
1218378	356800	1224	5	5
1131359	1265640	1224	5	8
339681	403972	2	3	7
1466964	523647	2	6	6
1484210	1497184	2	6	7
1306312	1509952	2	6	3
1131163	1776	2	6	6
1081421	941889	2	6	6
404	1110244	2	5	3
879604	1270987	2	6	6
1358299	460082	2	3	6
1602598	709745	2	6	3
1051195	214855	2	6	6
327664	1208202	2	7	3
1277069	1208693	1236	4	4
928978	85558	2	6	6
579676	1194447	2	6	6
542197	1148309	2	6	3
1159043	1664560	1224	7	5
1648054	640200	2	6	6
1678465	1594793	1236	4	4
1510882	1226572	2	6	6
1537410	1230644	1236	4	4
470049	857244	2	6	6
1285190	1670553	2	8	6
1700023	1402	2	6	7
1723730	1419790	2	6	6
1406431	1581651	28216	4	4
1245174	1028892	1224	6	5
225971	866629	2	6	8
349161	948162	2	7	3
1379890	1190232	2	3	6
1167693	588286	2	7	6
1316690	47055	2	6	6
1305888	348607	2	3	6
622500	1591411	2	6	6
426355	1320008	2	7	6
1033523	1338524	2	3	7
1765904	1277161	1224	6	5
1173145	519587	2	6	6
89067	745777	135622	3	3
1114367	570643	2	6	7
1243670	752567	2	6	6
947348	865435	1386	1	1
422366	890075	2	6	3
1442463	644320	2	6	6
690134	1204386	1224	5	5
944092	948620	53335	1	1
1459964	1681863	1386	1	1
1640088	1179985	1224	5	5
1304706	1413491	2	6	7
1200616	1358106	2	6	6
170687	245303	2	6	5
1194112	82115	2	6	4
677141	486989	1236	4	6
488430	263043	2	6	5
1472116	1002598	543	2	2
983795	394020	2	7	6
501572	1168446	356	4	3
945234	486910	2	6	7
204678	756493	1224	4	5
1436602	444202	2	6	6
1381567	285469	2	6	6
191644	1398339	2	7	6
293260	1327526	2	6	6
339706	1116113	2	3	7
1151457	1422752	2	7	7
1259381	1584450	2	6	6
764478	1432925	2	3	6
1682737	1321252	1224	5	7
1147193	1259111	1224	6	5
478591	677682	2	6	6
668610	583306	1224	5	5
689760	939414	2	5	4
653880	1758577	2	6	6
398201	1120342	2	6	6
568101	442429	1236	4	7
83622	463275	2	7	6
1443753	584605	2	6	7
663	685664	2	7	5
1450385	1591873	49928	1	1
1274896	475948	1236	7	4
513008	591838	2	6	6
1134791	1745380	2	7	6
536535	933601	2	5	7
927644	1095570	2	6	7
1437552	1636710	2	3	6
629265	572171	1224	8	5
1316713	1133891	2	6	3
595529	67602	2	6	6
1220815	1270177	2	6	3
1257021	1457004	2	7	6
338396	403640	2	7	6
1318934	1072109	1236	4	4
1295335	328302	2	6	7
207493	1737066	2	7	6
483016	1713150	2	7	6
1736530	207503	1224	5	6
1111959	998924	2	6	3
1386897	1608695	2	7	6
556322	1286024	28211	4	4
1319474	1762859	1224	6	6
1542696	1629985	2	6	7
1715196	1747938	1385	3	3
885279	1122682	2	6	3
195495	480970	2	5	6
329410	1072366	2	6	6
484549	398991	2	6	5
1323339	1441107	2	6	6
285343	1560917	2	6	6
331831	1584434	1224	4	5
1091023	1456701	1760	4	4
1170569	256178	2	6	6
538098	536648	49928	1	1
1146404	1219986	2	3	6
1185673	168958	2	8	3
1109052	755700	49928	1	1
653111	442387	2	6	5
1350587	367552	1760	4	4
1172002	1155889	2	6	7
1428202	881038	2	3	7
217675	1097494	2	3	5
1379894	1772272	2	3	6
885465	1689859	2	7	6
877530	399137	2	3	6
471771	412619	2	6	7
492253	1027287	2	6	6
1507986	253259	1224	5	5
151177	708914	2	7	6
941956	523374	2	6	6
1271435	686389	1224	5	5
1002601	692385	2	7	6
1010363	486851	2	5	6
939825	1349198	2	5	7
268811	1549096	1224	6	5
678508	1179112	2	6	6
1756018	1249182	2	7	6
1145103	468539	2	6	6
358155	250918	2	6	6
98274	261477	1760	4	4
345219	1089685	2	7	6
1341550	1137988	2	6	6
933973	1001559	2	7	6
645965	875059	1385	3	4
645600	755657	49928	1	1
910694	1737907	2	6	6
1577932	1645653	2	6	6
709875	1583945	2	6	6
315320	1508165	2	3	6
1399000	1727353	2	7	6
1321647	478110	2	6	6
476106	1533651	1883	1	1
264687	523681	2	6	6
677655	1267304	2	6	3
633407	1204729	2	6	6
1578065	1441263	2	5	6
